Query,Ambiguity Type,Retrieved,Retrieved Count,Context Length,Retrieved Context,Ground Truth,Prediction,Similarity,Expert1,Expert2,Final Label,,,,,,
Distance from Dumka Sadar Hospital to Deoghar?,Relational Geometric Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,The road distance from Dumka Sadar Hospital to Deoghar (Baidyanathdham area) is approximately 65 to 70 kilometres.," The distance from Dumka Sadar Hospital in Dumka, Jharkhand, India, to Deoghar can vary depending on the exact locations within each city. However, if you're referring to Deoghar town center, the approximate distance by road is around 105 kilometers (65 miles). Please note that travel times may vary due to traffic and road conditions. Always check reliable sources for real-time updates before traveling.",0.8995,Not Correct,Not Correct,Halucinate,1,1,406,114,3.561403509,1
"Does ""Deoghar"" refer to the municipal corporation area or the entire district?",Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"""Deoghar"" can refer to either the Deoghar Municipal Corporation area (the city) or the entire Deoghar district, depending on context."," Deoghar refers to a city and a notified area committee in the Indian state of Jharkhand. It is not a district but a part of the Deoghar district. The Deoghar Municipal Corporation was established later, which governs only certain areas within the city. The larger geographical area that encompasses Deoghar city is the Deoghar subdivision and the Deoghar district.",0.8427,Correct,Not Correct,Ok,1,1,365,133,2.744360902,0
"Does ""Parasnath"" in this context refer to the hill or the Jain temple on it?",Toponymical Semantic Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"""Parasnath"" in general usage may refer either to the hill (Parasnath Hill) or the Jain temple complex (Sammet Shikharji) located atop it; context determines which is meant."," In this context, ""Parasnath"" likely refers to the Parasnath Hills as they are more commonly known for being a part of the Jain pilgrimage sites. However, the specific mention could be referring to either the hills or the temples located on them. For more accuracy, it would be best to refer to additional context or information provided in the conversation.",0.926,Correct,Not Correct,Ok,1,1,358,172,2.081395349,0
"Does ""Trikut"" denote a hill, a village, or a police station?",Toponymical Semantic Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,"""Trikut"" may denote the Trikut Buru hill, the nearby village of Trikutpar, or a local police outpost named ""Trikut"" located in the area; context determines which entity is meant."," In Hindi, ""Trikut"" generally refers to a triangular-shaped mountain or hill. However, it's essential to consider the specific context when using the term, as it can sometimes be used for other things metaphorically or in different regional dialects. The other options you provided – village and police station – are not typical associations of the word ""Trikut"" in Hindi.",0.8642,Correct,Not Correct,Ok,1,1,376,178,2.112359551,0
Does Baidyanathdham fall under Deoghar urban agglomeration or rural jurisdiction?,Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,Baidyanathdham falls within the Deoghar Municipal Corporation area and is considered part of the Deoghar urban agglomeration.," Baidyanathdham is a significant pilgrimage site located in the Deoghar district of Jharkhand, India. It is considered to be part of the larger city and urban agglomeration of Deoghar, which includes several nearby towns and villages. However, the exact administrative classification may vary depending on the specific census or statistical data source you are referring to. For the most accurate information, it's best to consult official government sources such as the Census of India or local district administration records.",0.7428,Not Correct,Not Correct,Halucinate,0,1,528,125,4.224,1
Has the boundary of Baidyanathdham changed?,Temporal Spatial Ambiguity | Locational Extent Ambiguity,N/A,N/A,N/A,N/A,"The boundary of the Baidyanathdham temple complex was expanded during the 20th century to accommodate additional subsidiary temples and pilgrim facilities, particularly in the post-1950s period."," I don't have real-time data or the ability to physically visit places, but as of my last update, the boundary of Baidyanathdham, a significant Hindu temple complex located in Deogarh, Jharkhand, India, has not undergone any major changes. However, it is always best to check with local authorities or reliable online resources for the most accurate and up-to-date information about the temple's boundaries if you plan to visit.",0.529,Not Correct,Not Correct,Halucinate,0,0,428,194,2.206185567,1
Height difference between the three peaks of Trikut Buru?,Relational Geometric Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,The height difference between the highest and lowest of the three Trikut Buru peaks is approximately 50 to 80 metres.," Trikut Buru, also known as Trident Peak or Three Peaks Mountain, is located in Indonesia's Car Nicobar Island. The exact heights of the three peaks can vary slightly depending on the source, but here's a general idea:

1. Main Peak (Central Peak): Approximately 732 meters (2,401 feet) above sea level.
2. North Peak: Approximately 687 meters (2,254 feet) above sea level.
3. South Peak: Approximately 699 meters (2,293 feet) above sea level.

The height difference between the three peaks is relatively small. The main peak is the highest, followed by the south peak and then the north peak. However, it's essential to note that these heights can change slightly due to erosion or other geological processes. Always consult a reliable source for the most accurate information.",0.7565,Not Correct,Not Correct,Halucinate,1,1,778,117,6.64957265,1
Historical aliases of Parasnath Hill?,Toponymical Naming Ambiguity | Temporal Spatial Ambiguity,N/A,N/A,N/A,N/A,"Historical aliases of Parasnath Hill include ""Sammet Shikhar"", ""Sammey Shikharji"", and ""Parasnath Pahad"", with ""Sammet Shikhar"" being the most prominent Jain Tirthankara-associated name."," Parasnath Hill, a significant Jain pilgrimage site in the Indian state of Bihar, has had several historical names due to its importance in various religious and cultural contexts. Here are some of the notable ones:

1. Prasanna-kuta (Sanskrit): This means 'shining peak' or 'holy mountain'. It is one of the names mentioned in Jain texts.
2. Girnar Parvat (Sanskrit): Sometimes, the hill is referred to as a smaller replica of Mount Girnar in Gujarat, which is another important Jain pilgrimage site.
3. Parasnath Shikhar (Hindi): This name derives from Lord Parshvanatha, the 23rd Tirthankara and a prominent figure in Jainism, who is believed to have achieved spiritual liberation (Moksha) on this hill.
4. Parswanchal or Parswanath Hills: These are regional names used for the area surrounding the hill.
5. Paharpur or Paharpur-kut (Bhojpuri): Local names for the area and the hill, particularly in the nearby districts of Bhagalpur and Jamui.
6. Parsa Parbat (Nepali): Another name given to the hill by the neighboring Nepalese population.",0.6958,Not Correct,Not Correct,Halucinate,0,0,1044,186,5.612903226,1
How big is Deoghar?,Spatial Granularity Ambiguity | Locational Extent Ambiguity,N/A,N/A,N/A,N/A,Deoghar district has a total area of 2477 square kilometres; the Deoghar municipal corporation area covers about 119 square kilometres.," Deoghar, also known as Deogarh, is a city in the Indian state of Jharkhand. It doesn't have official status as a city but rather a municipal board. The area of Deoghar is approximately 12 square kilometers (4.63 square miles). However, when referring to the larger administrative division, the Deoghar district, it has an area of about 3,287 square kilometers (1,269 square miles).",0.8242,Correct,Not Correct,Ok,1,1,382,135,2.82962963,0
How big is Mansarovar pond?,Locational Extent Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,Mansarovar pond covers an area of roughly 0.5 acres (about 2000 square metres).," Mansarovar Lake, located in the Tibet Autonomous Region of China (also near the border of India and Nepal), is approximately 62 kilometers long and 30 kilometers wide. Its surface area is about 748 square kilometers (290 sq mi). The lake's maximum depth is around 15 meters (49 feet) at its deepest point, but the average depth is only about 1 meter (3.3 feet). This freshwater lake is one of the highest freshwater lakes in the world, with an elevation of approximately 4,580 meters (15,026 feet) above sea level.",0.6495,Not Correct,Not Correct,Halucinate,0,0,515,79,6.518987342,1
How did the population distribution in Dumka shift between the 2001 and 2011 censuses?,Temporal Spatial Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Between 2001 and 2011, Dumka district's rural population remained dominant (over 90%), with a gradual increase in urban population in Dumka town and a marginal shift toward semi-urban centres."," To provide an accurate answer, I would need to access specific census data. However, according to the official Indian Census reports, here is a brief overview of how the population distribution in Dumka, a district in Jharkhand, India, shifted between the years 2001 and 2011:

1. Population Growth: The total population of Dumka increased from approximately 1,685,379 in 2001 to about 2,034,405 in 2011 – a growth rate of around 19.8%.

2. Urban vs Rural Population: In 2001, the urban population accounted for approximately 17% of Dumka's total population, while the rural population comprised about 83%. By 2011, these figures had shifted slightly with the urban population accounting for around 19.5%, and the rural population making up about 80.5%.

3. Sex Ratio: The sex ratio (number of females per thousand males) increased from 967 in 2001 to 974 in 2011, which is still lower than the national average.

4. Literacy Rate: In 2001, the literacy rate for Dumka was approximately 53.8%. By 2011, it had increased to around 64.9% - a significant improvement, although still below the national average.

These statistics offer a snapshot of how the population distribution in Dumka has evolved over time. It's important to note that these numbers can change as new census data becomes available or for various other reasons, such as migration patterns and changes in data collection methodologies.",0.8055,Not Correct,Not Correct,Halucinate,1,1,1405,192,7.317708333,1
How did the travel distance between Deoghar and Dumka change after the highway was upgraded?,Temporal Spatial Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,The travel distance reduced from approximately 80-90 kilometres to about 65-70 kilometres after the alignment of NH-114A was upgraded and straightened.," I don't have real-time data, but as of my last update, the National Highway 39 (NH39) connects Deoghar in Jharkhand to Dumka. Prior to its upgrade, the distance between these two cities was approximately 184 kilometers via this route. After the highway was upgraded, travel time and distance might have reduced due to improved road conditions and infrastructure. However, for the most accurate and current information, I would recommend checking with local transportation authorities or using a reliable GPS service.",0.4215,Not Correct,Not Correct,Halucinate,0,0,517,151,3.42384106,1
How far apart are the hills of Trikut Buru?,Relational Geometric Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,The three main peaks of Trikut Buru are spaced roughly 200 to 400 metres apart from each other.," The Hills of Trikut Buru, located in the Thar Desert near the India-Pakistan border, are approximately 1.5 kilometers apart. They form a natural sandstone formation known as the ""Golden Triangle"" and are considered sacred by both Hindus (as Parsvanath Hills) and Jains (as Parneshwar Parvat).",0.6279,Not Correct,Not Correct,Halucinate,0,0,293,95,3.084210526,1
How far is Baidyanathdham from Dumka?,Spatial Granularity Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,Baidyanathdham (Deoghar) is approximately 65 to 70 kilometres by road from Dumka city.," Baidyanath Dham is located in Deoghar district, Jharkhand, and Dumka is a city in the Santhal Pargana district of Jharkhand. The distance between Baidyanath Dham and Dumka is approximately 160 kilometers (93 miles) by road. The travel time can vary depending on the mode of transportation and traffic conditions, but it typically takes around 4-5 hours to reach from Dumka to Baidyanath Dham.",0.8259,Not Correct,Not Correct,Halucinate,1,1,393,86,4.569767442,1
How far is Baidyanathdham from Mansarovar?,Relational Geometric Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"Baidyanathdham temple is located immediately adjacent to Mansarovar pond, at a distance of less than 50 metres."," Baidyanathdham is located in India, specifically in Deoghar district, Jharkhand. Mansarovar is a lake located in Tibet, China. The distance between these two locations is quite significant and varies depending on the route you take due to geographical barriers.

The shortest land route would involve traveling from Baidyanathdham to Gorakhpur (India), then crossing over the Himalayas via Nathu La Pass or Shipki La Pass to reach Mansarovar. However, this is a challenging journey that requires special permits and is not usually undertaken by tourists due to the harsh terrain and high altitude.

If you were to fly, the shortest air route would be approximately 2400 miles (3862 kilometers). But there are no direct flights between these two locations, so the actual travel distance would be much greater if you consider the multiple stops involved in such a journey.",0.708,Not Correct,Not Correct,Halucinate,0,1,871,111,7.846846847,1
How far is Baidyanathdham from the Deoghar railway station (road distance)?,Relational Geometric Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,The road distance from Baidyanathdham temple to Deoghar railway station is about 2 to 3 kilometres.," The distance between Baidyanathdham and Deoghar Railway Station is approximately 5 km (3.1 miles) by road. However, this can vary slightly depending on the exact starting point within Baidyanathdham and the route taken.",0.9221,Correct,Not Correct,Ok,1,1,220,99,2.222222222,0
How far is peak of Marang Buru from its base?,Relational Geometric Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,The horizontal distance from the base to the peak of Marang Buru along trekking routes is about 3 to 4 kilometres.," Marang Buru, also known as Gunung Marang Buru, is a mountain located in Indonesia. However, I don't have real-time data or the ability to calculate exact distances. The height of Marang Buru is approximately 3,071 meters (9,419 feet) above sea level, but the distance from the base to the peak would require specific geographical data which isn't readily available to me. I recommend checking a reliable source such as a hiking guidebook or online mountain information platform for accurate details on this measurement.",0.7703,Not Correct,Not Correct,Halucinate,1,1,520,114,4.561403509,1
How far is the Sadar Hospital from the central clock tower of Dumka?,Relational Geometric Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,The distance from Dumka Sadar Hospital to the central clock tower (Ghanta Ghar) is about 1.5 to 2 kilometres.," The exact distance between Sadar Hospital and the Central Clock Tower in Dumka, India isn't readily available. However, both landmarks are located within the city center and can be walked to or reached by public transportation. For precise directions and distance, I would recommend using a mapping service like Google Maps, which can provide you with accurate, real-time information based on current road conditions and traffic.",0.7985,Not Correct,Not Correct,Halucinate,1,1,430,109,3.944954128,1
How far is Trikut Buru from Marang Buru?,Relational Geometric Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,Trikut Buru is approximately 60 to 65 kilometres away from Marang Buru by straight-line distance.," I'm sorry for any inconvenience, but I'm unable to provide the distance between Trikut Buru and Marang Buru as I don't have real-time geographical data. These are probably locations in Indonesia based on their names, but for an accurate answer, you should consult a mapping service or GPS system that can calculate distances based on specific coordinates.",0.8315,Not Correct,Not Correct,Halucinate,1,1,356,97,3.670103093,1
How far was Deoghar from Dumka before the highway was built?,Temporal Spatial Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,"Before the construction of the modern highway, the old route between Deoghar and Dumka was approximately 80 to 90 kilometres along unpaved and indirect village roads."," I don't have real-time capabilities, so I can't provide current or real-time information. However, as of historical records, the distance between Deoghar and Dumka is approximately 170 kilometers (about 106 miles). This distance is measured along the most direct route, which might not be the same as the distance traveled using a specific highway since highways often deviate from the shortest straight-line path between two points. For the most accurate information about the current distance or travel time, I recommend checking a reliable GPS navigation system or online map service.",0.7446,Not Correct,Not Correct,Halucinate,0,1,588,166,3.542168675,1
How far west does the Deoghar district boundary extend?,Locational Extent Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"The westernmost boundary of Deoghar district extends roughly up to 86°25' E longitude, near the border with Giridih district."," I don't have real-time data or the ability to access maps. However, as of the administrative division of India in 2019, the Deoghar district is located in the Indian state of Jharkhand and it doesn't border any countries or oceans, so its westernmost point is within India. For specific details about its western boundary, I would recommend checking an up-to-date map or consulting official geographical resources.",0.7586,Not Correct,Not Correct,Halucinate,1,1,415,126,3.293650794,1
How has the municipal boundary of Dumka changed over the last 50 years?,Temporal Spatial Ambiguity | Locational Extent Ambiguity,N/A,N/A,N/A,N/A,"Over the last 50 years, the Dumka municipal boundary has expanded gradually to include neighbouring peri-urban areas and newer residential colonies, though the city remains a small urban centre compared to other district headquarters."," To provide an accurate answer, I would need to access specific historical maps or government records that detail changes in municipal boundaries over the past 50 years. However, I can share some general information about the evolution of Dumka's administrative structure.

Dumka is a city and a municipality in the Indian state of Jharkhand. It was part of the Santhal Parganas division of Bihar before the formation of Jharkhand in 2000. The city has undergone some changes in its administrative structure over the past 50 years:

1. In 1973, Dumka became a sub-division in the Santhal Parganas district of Bihar. Before this, it was just a part of Godda sub-division.
2. In 2000, following the creation of Jharkhand state, Dumka district was formed with Dumka as its headquarters. The new district included parts of the previous Santhal Parganas and Deoghar districts of Bihar.
3. In 2017, the Government of Jharkhand decided to upgrade Dumka municipality into a Nagar Nigam (municipal corporation). However, this decision is yet to be fully implemented as of 2021.

For precise and detailed information about changes in the municipal boundaries of Dumka over the last 50 years, it's best to consult official records or maps from the Jharkhand state government or relevant departments.",0.7221,Not Correct,Not Correct,Halucinate,0,1,1288,234,5.504273504,1
How large is the forested buffer zone around Marang Buru?,Locational Extent Ambiguity | Relational Semantic Ambiguity,N/A,N/A,N/A,N/A,The forested area immediately around Marang Buru covers roughly 15 to 20 square kilometres within the Marang Buru Reserved Forest.," I don't have real-time data, but as of my last update, the forested buffer zone around Marang Buru (a forest reserve in Sumatra, Indonesia) was approximately 140,000 hectares. However, it's always best to verify this information with a more recent and reliable source, such as the government or a conservation organization.",0.645,Not Correct,Not Correct,Halucinate,0,0,324,130,2.492307692,1
How long is the main thoroughfare through Dumka city?,Locational Extent Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,The main thoroughfare through Dumka city (Bhagalpur-Dumka Road/National Highway 114A) stretches for about 8 to 10 kilometres within the municipal limits.," The exact length of the main thoroughfare through Dumka city, India, can vary depending on the specific road or area you are referring to. However, one of the major roads in Dumka is the National Highway 39 (NH39), which connects the city to other important cities like Ranchi and Kishanganj. The length of NH39 within Dumka may vary, but for reference, the entire highway spans approximately 1,270 kilometers (790 miles) from Siliguri in West Bengal to Kokrajhar in Assam. For a more precise measurement of the main thoroughfare through Dumka city, I would recommend referring to local maps or city planning authorities.",0.8345,Not Correct,Not Correct,Halucinate,1,1,622,153,4.065359477,1
How long is the Marang Buru ridge?,Locational Extent Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,The Marang Buru ridge extends for about 5 to 6 kilometres in a roughly north-south orientation.," The Marang Buru Ridge, also known as the Buru-Selayar Ridge or the Sangihe Islands Arc, is a volcanic island arc in Indonesia. However, determining the exact length of such a geographical feature can be challenging due to its irregular shape and the various methods used to measure it. For a more precise measurement, I recommend checking resources like Google Earth, National Geographic, or geographical databases.",0.6508,Not Correct,Not Correct,Halucinate,0,0,416,95,4.378947368,1
How much higher is the main summit of Marang Buru than its lowest foothill?,Relational Geometric Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,The main summit of Marang Buru is approximately 400 to 500 metres higher than the surrounding lowest foothills.," Marang Buru, located in Indonesia's Maluku Islands, has a main summit known as Puncak Tengah. The height of Puncak Tengah is approximately 1,867 meters (6,125 feet) above sea level.

However, the exact altitude of Marang Buru's lowest foothill isn't easily found in public data sources, as it depends on various factors like the specific location and terrain. For a precise comparison between the main summit and its lowest foothill, more detailed geographical information would be required.",0.7633,Not Correct,Not Correct,Halucinate,1,1,492,111,4.432432432,1
How much longer is the winding road from Nayapara to Dumka compared to the straight line?,Relational Geometric Ambiguity | Geometric Result Ambiguity,N/A,N/A,N/A,N/A,The road route from Nayapara to Dumka is approximately 3 to 5 kilometres longer than the straight-line distance.," To calculate the difference between the distance of a winding road and a straight line, we typically use the formula for great-circle distance on a sphere (since the Earth is approximately spherical). However, without specific details about the number of turns, radius of curvature at each turn, or average speed, it's impossible to provide an accurate calculation.

Typically, winding roads are longer than straight lines due to the additional distance required for the turns. In some cases, the difference can be significant, but in others, it might only amount to a few percent. For instance, on long-distance trips, a winding mountain road may add tens of kilometers or miles, while on short city routes, the differences are usually negligible.

In your case, Nayapara and Dumka are located in India, so I searched for their coordinates:
- Nayapara (24.0759°N, 87.3165°E)
- Dumka (24.7561°N, 87.0412°E)

The straight line distance between these two points is approximately 90 km (56 miles). Without additional information about the road's curvature and turns, I can't provide a more specific estimate for the winding road distance.",0.7972,Not Correct,Not Correct,Halucinate,1,1,1140,112,10.17857143,1
How wide is Dumka city?,Locational Extent Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,Dumka city spans roughly 5 to 6 kilometres across at its widest east-west extent.," Dumka is a city in the Indian state of Jharkhand, and it doesn't have officially defined borders like a country or a state. However, for administrative purposes, Dumka district has an area of approximately 3,018 square kilometers (1,165 sq mi). This might not exactly represent the city itself, as urban areas usually occupy a smaller fraction of the total district area. For specific information about the size of the city, it's best to refer to local sources or city authorities.",0.7671,Not Correct,Not Correct,Halucinate,1,1,482,81,5.950617284,1
How wide is the Deoghar–Jasidih highway?,Locational Extent Ambiguity | Geometric Result Ambiguity,N/A,N/A,N/A,N/A,The carriageway width of the Deoghar-Jasidih highway is approximately 7 meters for most stretches.," The width of a specific highway can vary, and it's best to refer to reliable sources like government transportation departments or mapping services for accurate information. However, as of my last update, the National Highway 31 (NH31), which connects Deoghar and Jasidih in India, is a 4-lane highway. For the most current and precise details, I recommend checking with local authorities or online maps like Google Maps.",0.784,Not Correct,Not Correct,Halucinate,1,1,422,98,4.306122449,1
"In Dumka, does ""Mansarovar"" mean the pond, the ghat, or the surrounding colony?",Toponymical Semantic Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"In the Dumka/Deoghar context, ""Mansarovar"" primarily refers to the pond adjacent to Baidyanathdham."," In Dumka, Mansarovar typically refers to a sacred pond. However, it can also extend to the surrounding area or ghat (bank). The exact interpretation might depend on the specific context in which it's used. It's always best to confirm with local sources when referring to location-specific terms.",0.8579,Correct,Not Correct,Ok,1,1,296,99,2.98989899,0
