Query,Ambiguity Type,Retrieved,Retrieved Count,Context Length,Retrieved Context,Ground Truth,Prediction,Similarity,Expert1,Expert2,Final Label,,,,,,
Historical aliases of Parasnath Hill?,Toponymical Naming Ambiguity | Temporal Spatial Ambiguity,N/A,N/A,N/A,N/A,"Historical aliases of Parasnath Hill include ""Sammet Shikhar"", ""Sammey Shikharji"", and ""Parasnath Pahad"", with ""Sammet Shikhar"" being the most prominent Jain Tirthankara-associated name."," Historical aliases of Parasnath Hill include:
1. Shikharji (in Jainism)
2. Girnar (in Hinduism)
3. Sikhar (in Saman language)
4. Sanjiv Hill (by British colonial administrators)",0.8114,Correct,Correct,Ok,1,1,178,186,0.956989247,0
How big is Deoghar?,Spatial Granularity Ambiguity | Locational Extent Ambiguity,N/A,N/A,N/A,N/A,Deoghar district has a total area of 2477 square kilometres; the Deoghar municipal corporation area covers about 119 square kilometres.," The size of Deoghar, a city in India, can be determined at various spatial scales depending on the context of your question. Here are two possible interpretations:

1. Administrative Area: At this scale, Deoghar is approximately 28 square kilometers (10.8 square miles) as per the Deoghar Municipal Corporation area.

2. Urbanized Area: When considering the entire urbanized extent of Deoghar, it covers a larger area but lacks precise measurements due to its gradual expansion and irregular boundaries.",0.816,Not Correct,Not Correct,Halucinate,1,1,504,135,3.733333333,1
How big is Mansarovar pond?,Locational Extent Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,Mansarovar pond covers an area of roughly 0.5 acres (about 2000 square metres).," The Mansarovar Lake, located in Tibet Autonomous Region of China, has an area of approximately 120 square kilometers (46 square miles). However, its size can vary slightly due to seasonal changes and water levels.",0.6573,Not Correct,Not Correct,Halucinate,0,0,214,79,2.708860759,1
How did the population distribution in Dumka shift between the 2001 and 2011 censuses?,Temporal Spatial Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Between 2001 and 2011, Dumka district's rural population remained dominant (over 90%), with a gradual increase in urban population in Dumka town and a marginal shift toward semi-urban centres."," The population distribution in Dumka may have changed significantly or subtly between the 2001 and 2011 censuses, as the required spatial scale is unclear. However, due to the ambiguity regarding the time period, it is not possible to provide a definitive answer without specifying the dates within these census years.",0.739,Not Correct,Correct,Ok,0,1,319,192,1.661458333,0
How did the travel distance between Deoghar and Dumka change after the highway was upgraded?,Temporal Spatial Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,The travel distance reduced from approximately 80-90 kilometres to about 65-70 kilometres after the alignment of NH-114A was upgraded and straightened.," The change in travel distance between Deoghar and Dumka after the highway upgrade can't be definitively determined due to ambiguities in spatial relationship, spatial boundary or extent, and time period.",0.3904,Not Correct,Not Correct,Halucinate,0,0,204,151,1.350993377,1
How far apart are the hills of Trikut Buru?,Relational Geometric Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,The three main peaks of Trikut Buru are spaced roughly 200 to 400 metres apart from each other.," The spatial relationship between the hills of Trikut Buru, including their exact distance apart, is ambiguous and cannot be definitively determined based on the provided information.",0.6402,Not Correct,Not Correct,Halucinate,0,0,183,95,1.926315789,1
How far is Baidyanathdham from Dumka?,Spatial Granularity Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,Baidyanathdham (Deoghar) is approximately 65 to 70 kilometres by road from Dumka city.," The distance between Baidyanathdham and Dumka is not explicitly defined due to ambiguity in spatial relationship, boundary or extent, and required spatial scale. To obtain an accurate answer, more specific information about the context, such as whether it's a direct driving distance, air distance, or a certain type of path or route between the two locations, should be provided.",0.7956,Not Correct,Not Correct,Halucinate,1,1,381,86,4.430232558,1
How far is Baidyanathdham from Mansarovar?,Relational Geometric Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"Baidyanathdham temple is located immediately adjacent to Mansarovar pond, at a distance of less than 50 metres."," The distance between Baidyanathdham and Mansarovar cannot be definitively determined due to the spatial ambiguity in the query, as the locations of both places are not clearly defined or have multiple interpretations.",0.6184,Not Correct,Not Correct,Halucinate,0,0,218,111,1.963963964,1
How far is Baidyanathdham from the Deoghar railway station (road distance)?,Relational Geometric Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,The road distance from Baidyanathdham temple to Deoghar railway station is about 2 to 3 kilometres.," The road distance between Baidyanathdham and Deoghar Railway Station cannot be definitively determined due to potential ambiguities in spatial relationship, boundary or extent, and geographic interpretations.",0.7634,Correct,Not Correct,Ok,1,1,209,99,2.111111111,0
How far is peak of Marang Buru from its base?,Relational Geometric Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,The horizontal distance from the base to the peak of Marang Buru along trekking routes is about 3 to 4 kilometres.," The height (distance between the peak and base) of Mount Marang Buru can be determined by measuring the vertical distance, given that the spatial boundary or extent of the mountain is unclear in the provided context.",0.7192,Not Correct,Correct,Ok,0,1,217,114,1.903508772,0
How far is the Sadar Hospital from the central clock tower of Dumka?,Relational Geometric Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,The distance from Dumka Sadar Hospital to the central clock tower (Ghanta Ghar) is about 1.5 to 2 kilometres., The distance between Sadar Hospital and the central clock tower of Dumka is indeterminate due to ambiguity in the spatial relationship and boundary or extent of both locations.,0.6995,Not Correct,Not Correct,Halucinate,0,0,177,109,1.623853211,1
How far is Trikut Buru from Marang Buru?,Relational Geometric Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,Trikut Buru is approximately 60 to 65 kilometres away from Marang Buru by straight-line distance., The distance between Trikut Buru and Marang Buru is uncertain due to ambiguity in their spatial relationship or boundary/extent definition.,0.6795,Not Correct,Not Correct,Halucinate,0,0,140,97,1.443298969,1
How far was Deoghar from Dumka before the highway was built?,Temporal Spatial Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,"Before the construction of the modern highway, the old route between Deoghar and Dumka was approximately 80 to 90 kilometres along unpaved and indirect village roads.", The distance between Deoghar and Dumka prior to the construction of the highway cannot be definitively determined due to the ambiguity in time period specified.,0.7283,Not Correct,Correct,Ok,0,1,161,166,0.969879518,0
How far west does the Deoghar district boundary extend?,Locational Extent Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"The westernmost boundary of Deoghar district extends roughly up to 86°25' E longitude, near the border with Giridih district."," To determine the western extent of the Deoghar district boundary, it's necessary to obtain a map or geospatial data at an appropriate scale. Without specifying the required spatial scale, multiple interpretations can be made based on different map scales. Therefore, I would suggest acquiring and interpreting a detailed topographical map or satellite imagery of the region to accurately identify the westernmost point of the Deoghar district boundary.",0.7574,Not Correct,Not Correct,Halucinate,1,1,453,126,3.595238095,1
How has the municipal boundary of Dumka changed over the last 50 years?,Temporal Spatial Ambiguity | Locational Extent Ambiguity,N/A,N/A,N/A,N/A,"Over the last 50 years, the Dumka municipal boundary has expanded gradually to include neighbouring peri-urban areas and newer residential colonies, though the city remains a small urban centre compared to other district headquarters.", The evolution of Dumka's municipal boundary over the past 50 years can be traced by examining available maps or data records from approximately 1970 to present day.,0.7644,Correct,Correct,Ok,1,1,165,234,0.705128205,0
How large is the forested buffer zone around Marang Buru?,Locational Extent Ambiguity | Relational Semantic Ambiguity,N/A,N/A,N/A,N/A,The forested area immediately around Marang Buru covers roughly 15 to 20 square kilometres within the Marang Buru Reserved Forest.," The size of the forested buffer zone around Marang Buru can vary depending on the specific definition and width of the buffer used in the analysis. To obtain a precise value, it is recommended to consult the original data source or GIS analysis with detailed information about the buffer zone dimensions.",0.7058,Not Correct,Not Correct,Halucinate,0,1,305,130,2.346153846,1
How long is the main thoroughfare through Dumka city?,Locational Extent Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,The main thoroughfare through Dumka city (Bhagalpur-Dumka Road/National Highway 114A) stretches for about 8 to 10 kilometres within the municipal limits., The length of the main thoroughfare through Dumka city cannot be definitively determined without specifying a spatial scale or resolution for the analysis.,0.5989,Not Correct,Not Correct,Halucinate,0,0,156,153,1.019607843,1
How long is the Marang Buru ridge?,Locational Extent Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,The Marang Buru ridge extends for about 5 to 6 kilometres in a roughly north-south orientation.," The length of the Marang Buru ridge can vary depending on the specific region and definition used, but a common reference might be around 120 km (74 miles), as per some geographical data sources.",0.8411,Correct,Not Correct,Ok,1,1,196,95,2.063157895,0
How much higher is the main summit of Marang Buru than its lowest foothill?,Relational Geometric Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,The main summit of Marang Buru is approximately 400 to 500 metres higher than the surrounding lowest foothills., The height difference between the main summit and the lowest foothill of Marang Buru is unclear due to ambiguity in the spatial relationship and boundary or extent information.,0.6522,Not Correct,Not Correct,Halucinate,0,0,177,111,1.594594595,1
How much longer is the winding road from Nayapara to Dumka compared to the straight line?,Relational Geometric Ambiguity | Geometric Result Ambiguity,N/A,N/A,N/A,N/A,The road route from Nayapara to Dumka is approximately 3 to 5 kilometres longer than the straight-line distance., The length of the winding road from Nayapara to Dumka is greater than the straight line distance due to the road's curvature and deviations from a direct path.,0.8537,Correct,Correct,Ok,1,1,160,112,1.428571429,0
How wide is Dumka city?,Locational Extent Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,Dumka city spans roughly 5 to 6 kilometres across at its widest east-west extent.," The required spatial scale for determining the width of Dumka city is not specified, so a general estimate based on satellite imagery or administrative boundaries can be used. However, precise measurements might vary depending on whether you're referring to built-up areas, municipal limits, or other specific definitions of city extent.",0.7624,Not Correct,Not Correct,Halucinate,1,1,338,81,4.172839506,1
How wide is the Deoghar–Jasidih highway?,Locational Extent Ambiguity | Geometric Result Ambiguity,N/A,N/A,N/A,N/A,The carriageway width of the Deoghar-Jasidih highway is approximately 7 meters for most stretches.," The provided query does not explicitly state a specific highway length, thus I cannot provide an exact width measurement for the Deoghar-Jasidih highway. However, if we assume that the question is implying a request for the physical extent or the linear measure of the road (which would be related to its width in some cases), then a more appropriate query would be ""What is the length of the Deoghar–Jasidih highway?"" or ""How long is the Deoghar-Jasidih highway?"".",0.8207,Not Correct,Not Correct,Halucinate,1,1,468,98,4.775510204,1
"In Dumka, does ""Mansarovar"" mean the pond, the ghat, or the surrounding colony?",Toponymical Semantic Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"In the Dumka/Deoghar context, ""Mansarovar"" primarily refers to the pond adjacent to Baidyanathdham."," The term ""Mansarovar"" in Dumka likely refers to a pond, given that Mansarovar is a popular name for sacred lakes in India and Nepal. However, to provide definitive information, it would be best to consult local sources or specific geographic databases for the precise interpretation in this context.",0.8368,Not Correct,Not Correct,Halucinate,1,1,300,99,3.03030303,1
In which cardinal direction does the Mayurakshi River flow from Dumka city?,Geometric Result Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"From the city of Dumka, the Mayurakshi River flows generally in a south-easterly direction", The Mayurakshi River flows northeast from Dumka city.,0.91,Correct,Correct,Ok,1,1,54,90,0.6,0
In which decade was the Baidyanathdham temple complex last expanded?,Temporal Spatial Ambiguity | Locational Extent Ambiguity,N/A,N/A,N/A,N/A,"The Baidyanathdham temple complex underwent significant expansion during the 1990s, with the construction of new pilgrim amenities, dharamshalas, and boundary restructuring.", The expansion of the Baidyanathdham temple complex cannot be definitively determined due to the ambiguity regarding the time period.,0.5644,Not Correct,Not Correct,Halucinate,0,0,133,173,0.768786127,1
In which direction is Parasnath Hill from Dumka?,Geometric Result Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"From Dumka, Parasnath Hill is located in the south-west direction"," The distance and direction from Dumka to Parasnath Hill cannot be determined without clarifying the spatial boundary or extent, and the required spatial scale of the area in question.",0.775,Correct,Not Correct,Ok,1,1,184,65,2.830769231,0
In which direction of Dumka is Baidyanathdham?,Geometric Result Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"From the city of Dumka, Baidyanathdham (Deoghar) is located in the north-west direction", The direction of Baidyanathdham from Dumka cannot be determined due to the unclear spatial boundary or extent and required spatial scale.,0.7025,Not Correct,Correct,Ok,0,1,138,87,1.586206897,0
In which wing of Dumka Sadar Hospital is the emergency casualty located?,Spatial Part Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,"The emergency casualty department is located in the front wing of Dumka Sadar Hospital, directly facing the main entrance."," The emergency casualty in Dumka Sadar Hospital is likely located in the Emergency or Accident Wing, as it is typically where urgent medical care for injuries is provided. However, without specific information about the hospital's layout, this cannot be confirmed definitively.",0.9121,Correct,Not Correct,Ok,1,1,277,122,2.270491803,0
"Is ""Baidyanath"" a variant of ""Vaidyanath"" in local pronunciation?",Toponymical Naming Ambiguity,N/A,N/A,N/A,N/A,"Yes, ""Baidyanath"" is the local pronunciation variant of ""Vaidyanath""; both refer to the same deity and temple in Deoghar."," Yes, ""Baidyanath"" can be a variant of ""Vaidyanath"" in local pronunciation.",0.9127,Correct,Correct,Ok,1,1,75,121,0.619834711,0
"Is ""Baidyanathdham"" the temple, the town, or the railway station name?",Toponymical Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"""Baidyanathdham"" primarily refers to the temple complex; however, the locality and the nearby railway station are also named Baidyanathdham (station code: BDME)."," Baidyanathdham refers to a Hindu temple in Jharkhand, India.",0.7557,Correct,Correct,Ok,1,1,61,161,0.378881988,0
"Is ""Marang Buru"" also officially recorded as ""Marang Hill"" in revenue records?",Toponymical Naming Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"Yes, in revenue and forest records, Marang Buru is often officially recorded as ""Marang Hill"" or ""Marang Buru Hill"" under the Dumka Forest Division."," Marang Buru and Marang Hill may refer to the same geographic feature, however, for official revenue records, it's recommended to verify specific sources as the terminology can vary.",0.809,Correct,Correct,Ok,1,1,182,148,1.22972973,0
"Is ""Nayapara"" a ward within Dumka city or a separate revenue village?",Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"Nayapara is a separate revenue village, not a municipal ward within Dumka city."," Nayapara may be either a ward within Dumka city or a separate revenue village, as both interpretations exist in various sources. To confirm the precise context, additional information or referencing official records is recommended.",0.9035,Correct,Not Correct,Ok,1,1,232,79,2.936708861,0
"Is ""Parasnath"" more widely known as ""Sammet Shikhar"" in Jain literature?",Toponymical Naming Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"Yes, in Jain literature ""Parasnath"" is more widely and reverentially referred to as ""Sammet Shikhar"" or ""Shikharji"", one of the most sacred Tirtha sites."," Yes, Parasnath is more widely known as Sammet Shikhar in Jain literature.",0.8859,Correct,Correct,Ok,1,1,74,153,0.483660131,0
"Is ""Trikut"" considered the same as ""Trikuta"" in ancient texts?",Toponymical Naming Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"""Trikut"" is considered a vernacular shortening of ""Trikuta"", which appears in some Puranic and mythological references as the three-peaked hill associated with Ravana's worship of Shiva; local tradition identifies this site with that legend."," Yes, both ""Trikut"" and ""Trikuta"" refer to the same geographic concept in ancient texts.",0.6925,Not Correct,Not Correct,Halucinate,0,0,88,241,0.365145228,1
Is Baba Dham the same as Baidyanathdham?,Toponymical Naming Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"Yes, Baba Dham is the same as Baidyanathdham; ""Baba Dham"" is a popular colloquial and reverential term for the Baidyanathdham temple."," Yes, Baba Dham and Baidyanathdham are the same place. They refer to the Baidyanath Temple in Deoghar, Jharkhand, India, which is a major Hindu pilgrimage site dedicated to Lord Shiva.",0.8835,Correct,Correct,Ok,1,1,184,133,1.383458647,0
Is Baidyanathdham a single shrine or a complex with multiple sub-temples?,Location Geometry Type Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,Baidyanathdham is a large temple complex containing the main Jyotirlinga shrine along with 21 other subsidiary temples., Baidyanathdham is a complex with multiple sub-temples.,0.7565,Correct,Correct,Ok,1,1,55,119,0.462184874,0
Is Deoghar district best represented as a polygon or an administrative point?,Location Geometry Type Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,Deoghar district is best represented as a polygon.," The Deoghar district could be represented using both a polygon (for spatial areas like its geographical boundary) and an administrative point (to represent the central location of the district, for example in a map of administrative units). However, given the lack of specificity about the required spatial scale, it's not possible to definitively state which representation would be best without additional context.",0.7773,Not Correct,Not Correct,Halucinate,1,1,417,50,8.34,1
Is Devghar = Deoghar?,Toponymical Naming Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"Yes, ""Devghar"" is a phonetic variant of ""Deoghar""; both mean ""House of God"" (Deo/Dev = God, Ghar = House) and refer to the same place."," Yes, Devghar and Deoghar are generally considered to be the same place. The difference in spelling is likely due to variations in transliteration from regional languages or historical usage.",0.8054,Correct,Correct,Ok,1,1,191,134,1.425373134,0
Is Dumka Sadar Hospital a point-of-interest or a multi-building campus?,Location Geometry Type Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"Dumka Sadar Hospital is a multi-building medical campus with separate wards, administrative blocks, and a blood bank.", Dumka Sadar Hospital is likely a multi-building campus.,0.8911,Correct,Correct,Ok,1,1,56,117,0.478632479,0
Is Mansarovar pond near Baidyanathdham temple?,Relational Semantic Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,"Yes, Mansarovar pond is located immediately adjacent to the Baidyanathdham temple complex, on its northern side.", The spatial relationship between Mansarovar pond and Baidyanathdham temple is unclear as they are located far apart in different geographical regions.,0.7646,Correct,Correct,Ok,1,1,151,112,1.348214286,0
Is Mansarovar pond still inside the temple complex?,Temporal Spatial Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"Mansarovar pond remains located within the extended temple trust premises, immediately outside the inner sanctum wall but well within the temple estate boundary.", The current state of whether Mansarovar pond is still inside the temple complex cannot be definitively answered due to the ambiguity in the time period.,0.7756,Correct,Correct,Ok,1,1,153,161,0.950310559,0
Is Marang Buru a part of the larger Trikut-Marang forest division or standalone?,Spatial Granularity Ambiguity | Relational Semantic Ambiguity,N/A,N/A,N/A,N/A,"Marang Buru is part of a separate Marang Buru Reserved Forest under the Dumka Forest Division, not part of a combined Trikut-Marang division."," The spatial relationship between Marang Buru and the Trikut-Marang forest division is unclear due to multiple interpretations of the geographic concept, and the required spatial scale is undetermined. Without further context or specificity, it cannot be definitively stated whether Marang Buru is a part of the larger Trikut-Marang forest division or standalone.",0.8117,Correct,Not Correct,Ok,1,1,363,141,2.574468085,0
Is Marang Buru in Dumka?,Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"Yes, Marang Buru is situated in Dumka district, within the Dumka-Godda uplands region."," The term ""Marang Buru"" does not have a specific, universally recognized association with the geographical location of Dumka. Therefore, it cannot be definitively stated whether Marang Buru is in Dumka or not based on the provided information.",0.849,Correct,Not Correct,Ok,1,1,243,86,2.825581395,0
Is Marang Buru in Deoghar?,Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"No, Marang Buru is situated in Dumka district, not in Deoghar."," Based on the given ambiguity information, this query seeks to establish if ""Marang Buru"" is a specific geographic feature within the city or district of Deoghar, India. However, without additional context, it is impossible to definitively say whether ""Marang Buru"" exists in Deoghar or not. Therefore, I cannot provide a conclusive answer at this time.

For a precise response, more contextual information such as the nature of ""Marang Buru,"" its geographic classification, or specific coordinates within Deoghar would be required.",0.7434,Not Correct,Not Correct,Halucinate,0,1,532,62,8.580645161,1
Is Nayapara a point settlement or an area with spread-out hamlets?,Location Geometry Type Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Nayapara is a revenue village comprising multiple scattered hamlets (tolas), not a single point settlement."," The required spatial scale to determine if Nayapara is a point settlement or an area with spread-out hamlets is unspecified, therefore, it cannot be definitively ascertained at this time.",0.6902,Not Correct,Not Correct,Halucinate,0,0,188,107,1.757009346,1
