Query,Primary Category,Secondary Categories,Ground Truth
"Does ""Parasnath"" in this context refer to the hill or the Jain temple on it?",Toponymical Semantic Ambiguity,Spatial Part Ambiguity," ""Parasnath"" in general usage may refer either to the hill (Parasnath Hill) or the Jain temple complex (Sammet Shikharji) located atop it; context determines which is meant."
"Does ""Trikut"" denote a hill, a village, or a police station?",Toponymical Semantic Ambiguity,Location Geometry Type Ambiguity," ""Trikut"" may denote the Trikut Buru hill, the nearby village of Trikutpar, or a local police outpost named ""Trikut"" located in the area; context determines which entity is meant."
Does Baidyanathdham fall under Deoghar urban agglomeration or rural jurisdiction?,Spatial Granularity Ambiguity,Toponymical Semantic Ambiguity, Baidyanathdham falls within the Deoghar Municipal Corporation area and is considered part of the Deoghar urban agglomeration.
Has the boundary of Baidyanathdham changed?,Temporal Spatial Ambiguity,Locational Extent Ambiguity," The boundary of the Baidyanathdham temple complex was expanded during the 20th century to accommodate additional subsidiary temples and pilgrim facilities, particularly in the post-1950s period."
Height difference between the three peaks of Trikut Buru?,Relational Geometric Ambiguity,Spatial Part Ambiguity, The height difference between the highest and lowest of the three Trikut Buru peaks is approximately 50 to 80 metres.
Historical aliases of Parasnath Hill?,Toponymical Naming Ambiguity,Temporal Spatial Ambiguity," Historical aliases of Parasnath Hill include ""Sammet Shikhar"", ""Sammey Shikharji"", and ""Parasnath Pahad"", with ""Sammet Shikhar"" being the most prominent Jain Tirthankara-associated name."
How big is Deoghar?,Spatial Granularity Ambiguity,Locational Extent Ambiguity, Deoghar district has a total area of 2477 square kilometres; the Deoghar municipal corporation area covers about 119 square kilometres.
How big is Mansarovar pond?,Locational Extent Ambiguity,Location Geometry Type Ambiguity, Mansarovar pond covers an area of roughly 0.5 acres (about 2000 square metres).
How did the population distribution in Dumka shift between the 2001 and 2011 censuses?,Temporal Spatial Ambiguity,Spatial Granularity Ambiguity," Between 2001 and 2011, Dumka district's rural population remained dominant (over 90%), with a gradual increase in urban population in Dumka town and a marginal shift toward semi-urban centres."
How did the travel distance between Deoghar and Dumka change after the highway was upgraded?,Temporal Spatial Ambiguity,Relational Geometric Ambiguity, The travel distance reduced from approximately 80-90 kilometres to about 65-70 kilometres after the alignment of NH-114A was upgraded and straightened.
How far apart are the hills of Trikut Buru?,Relational Geometric Ambiguity,Location Geometry Type Ambiguity, The three main peaks of Trikut Buru are spaced roughly 200 to 400 metres apart from each other.
How far is Baidyanathdham from Dumka?,Spatial Granularity Ambiguity,Relational Geometric Ambiguity, Baidyanathdham (Deoghar) is approximately 65 to 70 kilometres by road from Dumka city.
How far is Baidyanathdham from Mansarovar?,Relational Geometric Ambiguity,Toponymical Semantic Ambiguity," Baidyanathdham temple is located immediately adjacent to Mansarovar pond, at a distance of less than 50 metres."
How far is Baidyanathdham from the Deoghar railway station (road distance)?,Relational Geometric Ambiguity,Toponymical Semantic Ambiguity, The road distance from Baidyanathdham temple to Deoghar railway station is about 2 to 3 kilometres.
How far is peak of Marang Buru from its base?,Relational Geometric Ambiguity,Spatial Part Ambiguity, The horizontal distance from the base to the peak of Marang Buru along trekking routes is about 3 to 4 kilometres.
How far is the Sadar Hospital from the central clock tower of Dumka?,Relational Geometric Ambiguity,Toponymical Semantic Ambiguity, The distance from Dumka Sadar Hospital to the central clock tower (Ghanta Ghar) is about 1.5 to 2 kilometres.
How far is Trikut Buru from Marang Buru?,Relational Geometric Ambiguity,Location Geometry Type Ambiguity, Trikut Buru is approximately 60 to 65 kilometres away from Marang Buru by straight-line distance.
How far was Deoghar from Dumka before the highway was built?,Temporal Spatial Ambiguity,Relational Geometric Ambiguity," Before the construction of the modern highway, the old route between Deoghar and Dumka was approximately 80 to 90 kilometres along unpaved and indirect village roads."
How far west does the Deoghar district boundary extend?,Locational Extent Ambiguity,Spatial Granularity Ambiguity," The westernmost boundary of Deoghar district extends roughly up to 86°25' E longitude, near the border with Giridih district."
How has the municipal boundary of Dumka changed over the last 50 years?,Temporal Spatial Ambiguity,Locational Extent Ambiguity," Over the last 50 years, the Dumka municipal boundary has expanded gradually to include neighbouring peri-urban areas and newer residential colonies, though the city remains a small urban centre compared to other district headquarters."
How large is the forested buffer zone around Marang Buru?,Locational Extent Ambiguity,Relational Semantic Ambiguity, The forested area immediately around Marang Buru covers roughly 15 to 20 square kilometres within the Marang Buru Reserved Forest.
How long is the main thoroughfare through Dumka city?,Locational Extent Ambiguity,Spatial Granularity Ambiguity, The main thoroughfare through Dumka city (Bhagalpur-Dumka Road/National Highway 114A) stretches for about 8 to 10 kilometres within the municipal limits.
How long is the Marang Buru ridge?,Locational Extent Ambiguity,Location Geometry Type Ambiguity, The Marang Buru ridge extends for about 5 to 6 kilometres in a roughly north-south orientation.
How much higher is the main summit of Marang Buru than its lowest foothill?,Relational Geometric Ambiguity,Spatial Part Ambiguity, The main summit of Marang Buru is approximately 400 to 500 metres higher than the surrounding lowest foothills.
How much longer is the winding road from Nayapara to Dumka compared to the straight line?,Relational Geometric Ambiguity,Geometric Result Ambiguity, The road route from Nayapara to Dumka is approximately 3 to 5 kilometres longer than the straight-line distance.
How wide is Dumka city?,Locational Extent Ambiguity,Spatial Granularity Ambiguity, Dumka city spans roughly 5 to 6 kilometres across at its widest east-west extent.
How wide is the Deoghar–Jasidih highway?,Locational Extent Ambiguity,Geometric Result Ambiguity, The carriageway width of the Deoghar-Jasidih highway is approximately 7 meters for most stretches.
"In Dumka, does ""Mansarovar"" mean the pond, the ghat, or the surrounding colony?",Toponymical Semantic Ambiguity,Spatial Part Ambiguity," In the Dumka/Deoghar context, ""Mansarovar"" primarily refers to the pond adjacent to Baidyanathdham."
In which cardinal direction does the Mayurakshi River flow from Dumka city?,Geometric Result Ambiguity,Spatial Granularity Ambiguity,"From the city of Dumka, the Mayurakshi River flows generally in a south-easterly direction"
In which decade was the Baidyanathdham temple complex last expanded?,Temporal Spatial Ambiguity,Locational Extent Ambiguity," The Baidyanathdham temple complex underwent significant expansion during the 1990s, with the construction of new pilgrim amenities, dharamshalas, and boundary restructuring."
In which direction is Parasnath Hill from Dumka?,Geometric Result Ambiguity,Spatial Granularity Ambiguity,"From Dumka, Parasnath Hill is located in the south-west direction"
In which direction of Dumka is Baidyanathdham?,Geometric Result Ambiguity,Spatial Granularity Ambiguity,"From the city of Dumka, Baidyanathdham (Deoghar) is located in the north-west direction"
In which wing of Dumka Sadar Hospital is the emergency casualty located?,Spatial Part Ambiguity,Semantic Result Ambiguity," The emergency casualty department is located in the front wing of Dumka Sadar Hospital, directly facing the main entrance."
"Is ""Baidyanath"" a variant of ""Vaidyanath"" in local pronunciation?",Toponymical Naming Ambiguity,—," Yes, ""Baidyanath"" is the local pronunciation variant of ""Vaidyanath""; both refer to the same deity and temple in Deoghar."
"Is ""Baidyanathdham"" the temple, the town, or the railway station name?",Toponymical Semantic Ambiguity,Spatial Granularity Ambiguity," ""Baidyanathdham"" primarily refers to the temple complex; however, the locality and the nearby railway station are also named Baidyanathdham (station code: BDME)."
"Is ""Marang Buru"" also officially recorded as ""Marang Hill"" in revenue records?",Toponymical Naming Ambiguity,Toponymical Semantic Ambiguity," Yes, in revenue and forest records, Marang Buru is often officially recorded as ""Marang Hill"" or ""Marang Buru Hill"" under the Dumka Forest Division."
"Is ""Nayapara"" a ward within Dumka city or a separate revenue village?",Spatial Granularity Ambiguity,Toponymical Semantic Ambiguity," Nayapara is a separate revenue village, not a municipal ward within Dumka city."
"Is ""Parasnath"" more widely known as ""Sammet Shikhar"" in Jain literature?",Toponymical Naming Ambiguity,Toponymical Semantic Ambiguity," Yes, in Jain literature ""Parasnath"" is more widely and reverentially referred to as ""Sammet Shikhar"" or ""Shikharji"", one of the most sacred Tirtha sites."
"Is ""Trikut"" considered the same as ""Trikuta"" in ancient texts?",Toponymical Naming Ambiguity,Toponymical Semantic Ambiguity," ""Trikut"" is considered a vernacular shortening of ""Trikuta"", which appears in some Puranic and mythological references as the three-peaked hill associated with Ravana's worship of Shiva; local tradition identifies this site with that legend."
Is Baba Dham the same as Baidyanathdham?,Toponymical Naming Ambiguity,Toponymical Semantic Ambiguity," Yes, Baba Dham is the same as Baidyanathdham; ""Baba Dham"" is a popular colloquial and reverential term for the Baidyanathdham temple."
Is Baidyanathdham a single shrine or a complex with multiple sub-temples?,Location Geometry Type Ambiguity,Spatial Part Ambiguity, Baidyanathdham is a large temple complex containing the main Jyotirlinga shrine along with 21 other subsidiary temples.
Is Deoghar district best represented as a polygon or an administrative point?,Location Geometry Type Ambiguity,Spatial Granularity Ambiguity, Deoghar district is best represented as a polygon.
Is Devghar = Deoghar?,Toponymical Naming Ambiguity,Toponymical Semantic Ambiguity," Yes, ""Devghar"" is a phonetic variant of ""Deoghar""; both mean ""House of God"" (Deo/Dev = God, Ghar = House) and refer to the same place."
Is Dumka Sadar Hospital a point-of-interest or a multi-building campus?,Location Geometry Type Ambiguity,Spatial Part Ambiguity," Dumka Sadar Hospital is a multi-building medical campus with separate wards, administrative blocks, and a blood bank."
Is Mansarovar pond near Baidyanathdham temple?,Relational Semantic Ambiguity,Relational Geometric Ambiguity," Yes, Mansarovar pond is located immediately adjacent to the Baidyanathdham temple complex, on its northern side."
Is Mansarovar pond still inside the temple complex?,Temporal Spatial Ambiguity,Spatial Part Ambiguity," Mansarovar pond remains located within the extended temple trust premises, immediately outside the inner sanctum wall but well within the temple estate boundary."
Is Marang Buru a part of the larger Trikut-Marang forest division or standalone?,Spatial Granularity Ambiguity,Relational Semantic Ambiguity," Marang Buru is part of a separate Marang Buru Reserved Forest under the Dumka Forest Division, not part of a combined Trikut-Marang division."
Is Marang Buru in Dumka?,Spatial Granularity Ambiguity,Toponymical Semantic Ambiguity," Yes, Marang Buru is situated in Dumka district, within the Dumka-Godda uplands region."
Is Marang Buru in Deoghar?,Spatial Granularity Ambiguity,Toponymical Semantic Ambiguity," No, Marang Buru is situated in Dumka district, not in Deoghar."
Is Nayapara a point settlement or an area with spread-out hamlets?,Location Geometry Type Ambiguity,Spatial Granularity Ambiguity," Nayapara is a revenue village comprising multiple scattered hamlets (tolas), not a single point settlement."
Is Nayapara considered a part of Dumka city proper or a separate outgrowth?,Spatial Granularity Ambiguity,Toponymical Semantic Ambiguity, Nayapara is a separate rural village outside the Dumka municipal boundary and is not considered part of Dumka city proper.
Is Nayapara near Dumka city?,Relational Semantic Ambiguity,Spatial Granularity Ambiguity," Yes, Nayapara is a rural village located within the Dumka district, separate from any urban city block but nearby."
Is Nayapara part of Dumka?,Spatial Granularity Ambiguity,Toponymical Semantic Ambiguity," Yes, Nayapara is a revenue village within Dumka district, but it is outside the Dumka municipal town limits."
Is Parasnath near Dumka?,Spatial Granularity Ambiguity,Relational Semantic Ambiguity," Parasnath Hill is not near Dumka; it is located in Giridih district, approximately 150 kilometres away by road."
Is the Deoghar railway station connected to the main bus stand by a direct road?,Relational Semantic Ambiguity,Relational Geometric Ambiguity," Yes, Deoghar railway station is connected to the main bus stand by a direct road (Station Road) spanning about 1.5 kilometres."
Is the Dumka airstrip (Deoghar Airport) operational for civilian flights?,Semantic Result Ambiguity,Toponymical Semantic Ambiguity," No, the Dumka airstrip is a small unpaved facility used primarily for chartered and government flights; the operational civilian airport for the region is Deoghar Airport (Baidyanathdham Airport)."
Is the Mansarovar pond contained wholly within the temple complex or outside it?,Spatial Granularity Ambiguity,Spatial Part Ambiguity," The Mansarovar pond lies outside the immediate sanctum boundary but within the extended temple trust premises, adjacent to the northern boundary wall of the main shrine complex."
Is the Mansarovar pond next to Baidyanathdham?,Relational Semantic Ambiguity,Relational Geometric Ambiguity," Yes, the Mansarovar pond is situated right next to the Baidyanathdham temple complex."
Is the road leading to Trikut Buru a linear route or a network of trails?,Location Geometry Type Ambiguity,Relational Semantic Ambiguity,The path leading to the summit of Trikut Buru is a linear route.
"Is there a locality named ""Marang"" in any neighbouring district of Dumka?",Toponymical Semantic Ambiguity,Spatial Granularity Ambiguity, Disom Marang Buru Than is a locality in Hijla village at the edge of Dumka city.
Is there a Mansarovar in Dumka?,Toponymical Semantic Ambiguity,Spatial Granularity Ambiguity," No, the prominent Mansarovar pond is situated in Deoghar, not inside the Dumka district limits."
Is there a weekly market (haat) within walking distance of Baidyanathdham?,Relational Semantic Ambiguity,Relational Geometric Ambiguity," Yes, a weekly market (haat) operates within walking distance (less than 1 km) of Baidyanathdham, in the Deoghar town area."
Is Trikut = Trikut Buru?,Toponymical Naming Ambiguity,Toponymical Semantic Ambiguity," ""Trikut"" and ""Trikut Buru"" are used interchangeably; ""Buru"" means ""hill"" in Santali, so Trikut Buru specifically means ""Trikut Hill""."
Is Trikut Buru a single conical peak or a cluster of multiple summits?,Location Geometry Type Ambiguity,Spatial Part Ambiguity," Trikut Buru is a cluster of three distinct summits (hence the name ""Trikut"" meaning three peaks)."
Is Trikut Buru next to Marang Buru?,Relational Semantic Ambiguity,Relational Geometric Ambiguity," No, Trikut Buru is not next to Marang Buru; they are located in different districts approximately 60-65 kilometres apart."
On which slope of Trikut Buru does the primary trekking trail begin?,Spatial Part Ambiguity,Relational Semantic Ambiguity," The primary trekking trail to Trikut Buru begins on the southeastern slope of the hill, starting from Trikutpar village."
Road distance vs straight-line from Nayapara village to Dumka city centre?,Relational Geometric Ambiguity,Geometric Result Ambiguity," The road distance from Nayapara to Dumka city centre is about 10-12 kilometres, while the straight-line distance is roughly 7 kilometres."
Should Mansarovar pond be mapped as a polygon or a point next to the Baidyanathdham temple complex ?,Location Geometry Type Ambiguity,Spatial Granularity Ambiguity,The Mansarovar pond should be mapped as a polygon.
Under which administrative block (CD block) does Nayapara fall?,Spatial Granularity Ambiguity,Toponymical Semantic Ambiguity, Nayapara falls under the Dumka Sadar (Dumka) Community Development (CD) Block.
Was Marang Buru inside Dumka earlier?,Temporal Spatial Ambiguity,Spatial Granularity Ambiguity," Yes, Marang Buru has always been situated within the territorial limits of Dumka district, even before the bifurcation of Jamtara district in 2001."
Was Marang Buru inside Jamtara earlier?,Temporal Spatial Ambiguity,Spatial Granularity Ambiguity," No, Marang Buru has always been situated within the territorial limits of Dumka district, even before the bifurcation of Jamtara district in 2001."
Was Parasnath Hill earlier part of Dumka district?,Temporal Spatial Ambiguity,Spatial Granularity Ambiguity," No, Parasnath Hill has never been part of Dumka district; it has historically been located in Giridih district (earlier within Hazaribagh district)."
Was the Mayurakshi River course near Nayapara different in the 1960s?,Temporal Spatial Ambiguity,Location Geometry Type Ambiguity," Yes, the Mayurakshi River course near Nayapara has shifted slightly due to siltation and seasonal flooding since the 1960s, though the major channel has remained largely consistent."
Were the Trikut Buru hills historically part of a larger reserved forest?,Temporal Spatial Ambiguity,Spatial Granularity Ambiguity," Yes, the Trikut Buru hills were historically part of a larger reserved forest area notified during the British colonial period, later divided into separate forest blocks."
What are the indigenous (Santhali) names for the Deoghar region?,Toponymical Naming Ambiguity,—," The Santali names for the Deoghar region include ""Boidanath Dham"", ""Deoghar"", and ""Baba Dham Disam"" (land of Baba Dham)."
What is adjacent to Trikut Buru base?,Spatial Part Ambiguity,Relational Semantic Ambiguity, The village of Trikutpar and the trek starting point for Trikut Buru are located adjacent to the base of the hill.
"What is next to Sadar Hospital, Deoghar?",Relational Semantic Ambiguity,Toponymical Semantic Ambiguity, The Deoghar District Civil Surgeon Office and the Deoghar police lines area are located adjacent to Deoghar Sadar Hospital.
What is Ol Chiki name Dumka?,Toponymical Naming Ambiguity,—," The Ol Chiki spelling of Dumka is ""ᱰᱩᱢᱠᱟ""."
What is Santali name for Dumka?,Toponymical Naming Ambiguity,—," The Santali name for Dumka is ""ᱰᱩᱢᱠᱟ"" (Dumka pronounced with a glottal stop)."
What is the area of Deoghar?,Locational Extent Ambiguity,Spatial Granularity Ambiguity, The total area of Deoghar district is about 2477 square kilometres.
What is the area of Dumka?,Locational Extent Ambiguity,Spatial Granularity Ambiguity, The Dumka district covers a total geographical area of about 3716 square kilometres.
What is the average depth of the Mansarovar pond?,Geometric Result Ambiguity,Toponymical Semantic Ambiguity,Average depth is about 10 meters.
What is the average spacing between the three crests of Trikut Buru?,Relational Geometric Ambiguity,Spatial Part Ambiguity, The average horizontal spacing between the three crests of Trikut Buru is about 300 metres.
What is the boundary length of Baidyanathdham temple complex?,Locational Extent Ambiguity,Spatial Part Ambiguity, The perimeter of the Baidyanathdham temple complex boundary wall is approximately 400 metres.
What is the carriageway width of the main road passing through Deoghar?,Geometric Result Ambiguity,Spatial Granularity Ambiguity,The carriageway width of the main road passing through Deoghar is mostly 7 meters.
What is the catchment area of the Mansarovar pond’s watershed?,Locational Extent Ambiguity,Location Geometry Type Ambiguity,The catchment consists of an urban footprint of roughly 1.5 to 2 square kilometres encompassing the immediate temple vicinity.
What is the colloquial name used by locals for Dumka Sadar Hospital?,Toponymical Naming Ambiguity,—," Locals colloquially refer to Dumka Sadar Hospital as ""Sadar Aspatal"" or simply ""Sadar Hospital""."
What is the crow-fly distance from Dumka to its nearest district headquarters?,Relational Geometric Ambiguity,Spatial Granularity Ambiguity," The nearest district headquarters to Dumka by straight-line distance is Deoghar, approximately 55 kilometres away."
"What is the Devanagari spelling of ""Dumka"" used in government gazettes?",Toponymical Naming Ambiguity,—," The Devanagari spelling of Dumka used in government gazettes is ""दुमका""."
What is the direct linear distance between Deoghar and Jasidih?,Relational Geometric Ambiguity,Spatial Granularity Ambiguity, The direct linear distance between Deoghar railway station and Jasidih Junction is about 6 kilometres.
What is the distance between Dumka and Deoghar?,Spatial Granularity Ambiguity,"Relational Geometric Ambiguity, Geometric Result Ambiguity", The road distance between Dumka and Deoghar is approximately 65 to 70 kilometres.
What is the distance between Parasnath Hill and Marang Buru?,Toponymical Semantic Ambiguity,Relational Geometric Ambiguity, The straight-line distance between Parasnath Hill (Giridih) and Marang Buru (Dumka) is approximately 120-130 kilometres.
What is the driving distance between Mansarovar pond and the Dumka bus depot?,Relational Geometric Ambiguity,Toponymical Semantic Ambiguity, The driving distance between Mansarovar pond (Deoghar) and Dumka bus depot is approximately 68 to 72 kilometres.
What is the elevation gain when climbing from the base to the highest point of Trikut Buru?,Relational Geometric Ambiguity,Spatial Part Ambiguity, The elevation gain from the base to the highest peak of Trikut Buru is approximately 350 to 400 metres.
What is the exact altitude of the Marang Buru peak?,Geometric Result Ambiguity,Spatial Part Ambiguity," Marang Buru peak is 1,365 metres above sea level."
What is the extent of Marang Buru?,Locational Extent Ambiguity,Location Geometry Type Ambiguity, The Marang Buru hill area covers roughly 10-12 square kilometres in the Dumka-Godda uplands.
What is the extent of Trikut Buru?,Locational Extent Ambiguity,Location Geometry Type Ambiguity, The Trikut Buru hill complex spans an area of approximately 8-10 square kilometres.
What is the floor area of the main Baidyanathdham temple hall?,Geometric Result Ambiguity,Spatial Part Ambiguity,The floor area of the main Baidyanathdham temple hall is roughly 400 sq m.
What is the geometry type of the Mayurakshi River flowing past Dumka?,Location Geometry Type Ambiguity,Spatial Granularity Ambiguity,The Mayurakshi River should be mapped as a Line geometry type.
What is the height of Marang Buru?,Geometric Result Ambiguity,Spatial Part Ambiguity," Marang Buru peak is 1,365 metres above sea level."
What is the highest point (elevation) within Dumka district?,Geometric Result Ambiguity,Spatial Granularity Ambiguity,The highest point (located in the Dumka–Godda Uplands) is about 750 meters above sea level.
What is the jurisdictional extent of the Dumka municipal council?,Spatial Granularity Ambiguity,Locational Extent Ambiguity," The Dumka municipal council jurisdiction covers an area of approximately 9 to 10 square kilometres, encompassing the core urban wards."
What is the length of the Deoghar–Jasidih railway line segment?,Geometric Result Ambiguity,Location Geometry Type Ambiguity,Length of the Deoghar Junction to Jasidih Junction railway line segment is about 6 Km.
What is the length of the Trikut Buru trek route?,Geometric Result Ambiguity,Location Geometry Type Ambiguity,About 2 km from the base to the peak.
What is the linear distance from Deoghar to the West Bengal state border?,Relational Geometric Ambiguity,Spatial Granularity Ambiguity, The straight-line distance from Deoghar city to the West Bengal state border (eastward) is approximately 45 to 50 kilometres.
What is the linear extent of the Trikut Buru hill range?,Locational Extent Ambiguity,Location Geometry Type Ambiguity, The Trikut Buru hill range extends linearly for approximately 4 to 5 kilometres along its main axis.
What is the location of Marang Buru?,Toponymical Semantic Ambiguity,Spatial Granularity Ambiguity," Marang Buru is situated in Dumka district, Jharkhand, approximately 30-35 kilometres from Dumka town in the Godda uplands region."
What is the Ol Chiki spelling of Mansarovar?,Toponymical Naming Ambiguity,—," The Ol Chiki spelling of Mansarovar is ""ᱢᱟᱱᱥᱟᱨᱳᱵᱚᱨ"" (Mansarovar)."
What is the old name of Marang Buru?,Toponymical Naming Ambiguity,Temporal Spatial Ambiguity," The old name of Marang Buru is the same; ""Marang Buru"" in Santali means ""Big Hill"" and it has been known by this indigenous name historically; colonial records also refer to it as ""Marang Hill""."
What is the perimeter of the Mansarovar pond?,Locational Extent Ambiguity,Location Geometry Type Ambiguity, The perimeter of Mansarovar pond is approximately 180 to 200 metres.
What is the population of Dumka?,Spatial Granularity Ambiguity,Temporal Spatial Ambiguity," According to the 2011 census, the population of Dumka district is approximately 1.32 million; Dumka municipal town has a population of about 47000."
What is the road distance between Baidyanathdham and Mansarovar?,Relational Geometric Ambiguity,Toponymical Semantic Ambiguity," Baidyanathdham temple and Mansarovar pond are adjacent to each other, so the walking distance is negligible (under 50 metres); there is no separate road distance."
What is the road distance between Deoghar and Dumka?,Spatial Granularity Ambiguity,Relational Geometric Ambiguity, The road distance between Deoghar and Dumka via NH-114A is approximately 65 to 70 kilometres.
What is the Santali name for Baidyanathdham?,Toponymical Naming Ambiguity,—," The Santali name for Baidyanathdham is ""Boidanath"" or ""Baidyanath Dham"", often referred to descriptively as ""Boidanath Jaher Than"" (sacred place) in Santali oral tradition."
What is the Santhali name for the Mayurakshi River?,Toponymical Naming Ambiguity,—," The Santhali name for the Mayurakshi River is ""Morokhi"" or ""Mayuraksi"", which is close to the Bengali/Sanskrit form and means ""peacock-eyed"" in Santali usage as well."
What is the size of Baidyanathdham?,Locational Extent Ambiguity,Spatial Granularity Ambiguity, The Baidyanathdham temple complex occupies an area of approximately 1.5 acres (about 6000 square metres).
What is the total area covered by the Baidyanathdham temple complex?,Locational Extent Ambiguity,Spatial Part Ambiguity, The Baidyanathdham temple complex covers a total area of about 1.5 acres (approximately 6000 square metres).
What is the total length of paved roads inside the Deoghar municipal area?,Geometric Result Ambiguity,Spatial Granularity Ambiguity, Deoghar Municipal Corporation (DMC) maintains roads of about 180 kilometres in length
What is the width of the Mayurakshi River near Dumka?,Locational Extent Ambiguity,Relational Semantic Ambiguity," The width of the Mayurakshi River near Dumka city varies seasonally, averaging about 60 to 80 metres during non-monsoon periods."
"What kind of geographic feature is Marang Buru – a ridge, a plateau, or a hill?",Location Geometry Type Ambiguity,Spatial Granularity Ambiguity," Marang Buru is a prominent hill, which is the highest point in the Dumka-Godda Uplands region."
What was the area of Dumka earlier?,Temporal Spatial Ambiguity,Locational Extent Ambiguity," Before the creation of Jamtara district in 2001, undivided Dumka district had an area of approximately 6212 square kilometres (later reduced to 3716 sq km)."
What was the official name of Deoghar before Indian independence?,Temporal Spatial Ambiguity,Toponymical Naming Ambiguity," Before Indian independence, Deoghar was officially referred to as ""Deoghar"" in government records, though it was colloquially and historically also known as ""Baidyanathdham"" or ""Baba Dham""; the British also referred to the town as part of the Santal Parganas."
What was the old cart track connecting Deoghar to Jasidih before the railway was built?,Temporal Spatial Ambiguity,Location Geometry Type Ambiguity," The old cart track between Deoghar and Jasidih followed roughly the alignment of the present-day Station Road, a narrow unpaved path used for bullock carts and pedestrian traffic before the railway line was commissioned in the late 19th century."
What were the pre-colonial historical names of the Mansarovar water body?,Toponymical Naming Ambiguity,Temporal Spatial Ambiguity," The pre-colonial historical name of the Mansarovar water body is believed to be the same    ""Mansarovar""    named after the sacred Lake Mansarovar in Tibet; it may also have been referred to locally as ""Baba Dham Pokhar"" or ""Shivganga"" in some texts."
"When someone says ""Deoghar"", are they talking about the city or the district?",Spatial Granularity Ambiguity,Toponymical Semantic Ambiguity," In common usage, ""Deoghar"" may refer to either the city (municipal corporation area) or the entire district; context determines whether the urban centre or the broader administrative territory is meant."
Where are the Trikut peaks?,Toponymical Semantic Ambiguity,Spatial Granularity Ambiguity,"The Trikut peaks are located in the Deoghar district of Jharkhand, India."
Where can one find the tourist information office in Deoghar?,Semantic Result Ambiguity,Spatial Granularity Ambiguity," The tourist information office in Deoghar is located at the Deoghar Tourist Complex near Tower Chowk, operated by Jharkhand Tourism."
Where exactly is the main bus terminus located in Deoghar?,Semantic Result Ambiguity,Spatial Granularity Ambiguity," The main bus terminus in Deoghar is located near the Tower Chowk area, adjacent to the Deoghar-Dumka road, approximately 2 km from the railway station."
Where is Baba Dham?,Toponymical Semantic Ambiguity,Toponymical Naming Ambiguity,"Baba Dham is located in the Deoghar city, Jharkhand. There is also a Baba Basukinath Temple in Dumka, Jharkhand."
"Where is Baidyanathdham, Deoghar?",Toponymical Semantic Ambiguity,Spatial Granularity Ambiguity," Baidyanathdham is located within the Deoghar Municipal Corporation area, in Deoghar district, Jharkhand."
Where is Baidyanathdham?,Toponymical Semantic Ambiguity,Spatial Granularity Ambiguity," Baidyanathdham is located in the heart of Deoghar city, within the Deoghar Municipal Corporation area, in Deoghar district, Jharkhand in India"
